model,depth,type,poc_flux_int
Dunne 2007,100,Glob. obs.,10.122771653442515
Henson 2012,100,Glob. obs.,3.2403966865063665
Laws 2000,100,Glob. obs.,11.646335561906367
Laws 2011,100,Glob. obs.,17.794282754522172
Nowicki 2022,100,Glob. obs.,6.512927110354911
Nowicki 2022,1000,Glob. obs.,1.1910669423277644
Schlitzer 2000,100,Glob. obs.,8.910712177488838
Siegel 2014,100,Glob. obs.,5.645105400245039
Wang 2023,100,Glob. obs.,7.322182530434956
Wang 2023,1000,Glob. obs.,0.5798495738300614
CCSM-WHOI,100,RECCAP2,4.3897217695794035
CCSM-WHOI,1000,RECCAP2,2.3873009277794353
CESM-ETHZ,100,RECCAP2,5.999781887082274
CESM-ETHZ,1000,RECCAP2,0.8034104068772135
CNRM-ESM2,100,RECCAP2,6.593866260678805
EC-Earth3,100,RECCAP2,6.429006428067978
ECCO-Darwin,100,RECCAP2,9.127840401973621
ECCO-Darwin,1000,RECCAP2,0.6791406776404669
FESOM−REcoM_LR,100,RECCAP2,6.2825067905349155
FESOM−REcoM_LR,1000,RECCAP2,0.8402355269170928
MOM6-Prenceton,100,RECCAP2,6.2928363118337955
MPIOM-HAMMOC,100,RECCAP2,5.241256856380013
MPIOM-HAMMOC,1000,RECCAP2,0.2855023083492666
MRI-ESM2-0,100,RECCAP2,6.731648855818049
MRI-ESM2-0,1000,RECCAP2,0.5152652393700701
Nor_ESM-OC1.2,100,RECCAP2,7.573523513183209
Nor_ESM-OC1.2,1000,RECCAP2,0.852042953702993
ORCA1-LIM3-PISCES,100,RECCAP2,4.275306788344699
PlankTOM12,100,RECCAP2,6.125337361032647
SIMPLE-TRIM,100,RECCAP2,7.448163748303445
SIMPLE-TRIM,1000,RECCAP2,1.2290602793792564
